item_id,title,series_name,vol_no,edition_type,special_benefits,author,publisher,release_date,price,rating,sales_point,rank,collected_at
401460099,카구라바치 11 (더블특전판),카구라바치,11,더블특전판,"- 영웅, 초판한정 : 일러스트 시네마티켓, 선착순 더블특전 : 족자풍 책갈피 세트",호카조노 타케루,대원씨아이(만화),2026-09,5850,10.0,29910,1,2026-09-07T08:54:48+09:00
401510701,사죠 리히토의 아버지와 그의 부하 상.하 세트 - 전2권,사죠 리히토의 아버지와 그의 부하 상.하 세트 - 전2권,,,- 코믹 라르고 Comic Largo,나카무라 아스미코,조은세상(북두),2026-10,34200,,23630,2,2026-09-07T08:54:48+09:00
401348021,타몬 군 지금 어느 쪽?! 14,타몬 군 지금 어느 쪽?!,14,,,시와스 유키,학산문화사(만화),2026-09,6300,10.0,13180,3,2026-09-07T08:54:48+09:00
400315663,스파이 패밀리 17,스파이 패밀리,17,,,엔도 타츠야,학산문화사(만화),2026-08,5400,10.0,32040,4,2026-09-07T08:54:48+09:00
401406764,어제 뭐 먹었어? 25,어제 뭐 먹었어?,25,,,요시나가 후미,삼양출판사(만화),2026-08,5400,,10100,5,2026-09-07T08:54:48+09:00
400710266,야마다 군과 Lv999의 사랑을 하다 8,야마다 군과 Lv999의 사랑을 하다,8,,"- 초판 한정 특전 : 띠지, 일러스트 카드, 폴라로이드 카드",마시로,디앤씨미디어(주)(D&C미디어),2026-09,7200,10.0,19200,6,2026-09-07T08:54:48+09:00
400365190,사카모토 데이즈 27 (더블 특전판),사카모토 데이즈,27,더블 특전판,"- 자긍심, 초판 한정 띠지 + 일러스트 포스트 카드 + 일러스트 레이어 카드",스즈키 유우토,대원씨아이(만화),2026-08,5850,10.0,31860,7,2026-09-07T08:54:48+09:00
401462735,블루 아카이브 코믹 앤솔로지 VOL.6 & VOL.7 합본 세트 - 전2권,블루 아카이브 코믹 앤솔로지 VOL.6 & VOL.7 합본 세트 - 전2권,,,"- SL Comic, 초판 한정 특전 : 띠지, 폴라로이드 카드 2종, 마우스 패드",NEXON GAMES,디앤씨미디어(주)(D&C미디어),2026-09,19800,,8130,8,2026-09-07T08:54:48+09:00
400917256,마남 이치 6 (트리플 특전판),마남 이치,6,트리플 특전판,- 아크릴 일러스트 카드 2종 + 홀로그램 일러스트 카드,유사자키 시로,서울미디어코믹스(서울문화사),2026-08,6300,8.0,16570,9,2026-09-07T08:54:48+09:00
400652795,스킵과 로퍼 12,스킵과 로퍼,12,,- 시프트코믹스,타카마츠 미사키,YNK MEDIA(만화),2026-08,5400,10.0,24880,10,2026-09-07T08:54:48+09:00
400930743,아멜리아의 호기심 많은 로맨스 3,아멜리아의 호기심 많은 로맨스,3,,"- 루나 코믹스, 초판 한정 투명 pet 포토카드 1종, 양면 일러스트 카드 1종, PET 사원증 1종",코하쿠 요루,㈜소미미디어,2026-09,6300,10.0,14870,11,2026-09-07T08:54:48+09:00
401348054,오가미 츠미키와 기일상 8,오가미 츠미키와 기일상,8,,- 수량 한정 특전: 키토의 학생증+판스티커,모리시타 미유,학산문화사(만화),2026-09,5400,10.0,8480,12,2026-09-07T08:54:48+09:00
400736391,엄마가 도망갔다,엄마가 도망갔다,,,,소복이,나무의말,2026-09,17820,10.0,11840,13,2026-09-07T08:54:48+09:00
400710167,야마다 군과 Lv999의 사랑을 하다 8 (특별판),야마다 군과 Lv999의 사랑을 하다,8,특별판,"- 특별판 한정 특전 : 일반판 초판 특전, 틴케이스, 특별판 한정 엽서 4종 세트, 키캡 키링",마시로,디앤씨미디어(주)(D&C미디어),2026-09,23400,6.0,17760,14,2026-09-07T08:54:48+09:00
397412056,책이라면 팔 만큼 1,책이라면 팔 만큼,1,,,코지마 아오,미우(대원씨아이),2026-07,11700,9.6,24020,15,2026-09-07T08:54:48+09:00
401372461,악마에 입문했습니다! 이루마 군 48,악마에 입문했습니다! 이루마 군,48,,,니시 오사무,서울미디어코믹스(서울문화사),2026-09,5850,,5450,16,2026-09-07T08:54:48+09:00
400587114,봇치·더·록! 외전 히로이 키쿠리의 과음일기 6,봇치·더·록! 외전 히로이 키쿠리의 과음일기,6,,- 띠지 + 초판한정 일러스트 포토 카드 1종,쿠미쵸,대원씨아이(만화),2026-08,8100,10.0,24470,17,2026-09-07T08:54:48+09:00
399539936,명탐정 코난 108,명탐정 코난,108,,,아오야마 고쇼,서울미디어코믹스(서울문화사),2026-07,5400,9.8,21675,18,2026-09-07T08:54:48+09:00
